,company,title
110,GAS German Aviation Service GmbH,BAS Berlin Aviation Service GmbH sucht Rampagenten in Voll- und Teilzeit (m/w/d)
111,IU International University of Applied Sciences,Duales Studium Soziale Arbeit (B.A.) am Campus oder online
112,Scout24 Group,(Senior) Marketing Analyst (d/f/m)
113,DEVK Versicherungen,Duales Studium BWL/Versicherung B.A.
114,BWI GmbH,Business Analyst Schwerpunkt Military (m/w/d)
115,Workwise,Business Analyst - Low Code / Datenbanken / Schnittstellenentwicklung (m/w/d)
116,DCI Digital Career Institute,(Junior) Marketing Analyst (all genders)
117,Scout24 Group,Business Data Analyst - Sales & Customer Temporary Position (d/f/m)
118,Ing.ges. BBP Bauconsulting GmbH,"Techniker Heizungs-, Lüftungs-, Klimatechnik TGA als Bauleiter (m/w/d) BA-25"
119,Verivox GmbH,Business Analyst Value Added Services (m/w/d)
120,50Hertz Transmission GmbH,Business Analystin Digitalisierung Netzausbau (m/w/d)
121,Engel & Völkers Commercial Berlin,Market Analyst / Research Analyst (m/w/d)
122,CGI,Business Analyst/ Product Owner/Requirements Engineer (m/w/d)
123,IKEA,Business Analyst (w/m/d) / Customer Support Center - Elternzeitvertretung befristet bis 31.10.2024
124,ImmoScout24,(Senior) Marketing Analyst (d/f/m)
125,JustPlay,Marketing Data Analyst (all genders)
126,interim Group,Business Analyst (m/w/d) bei ProPotsdam
127,Capgemini,Consultant / Business Analyst / Projektmanager Life Sciences & Chemicals (w/m/d)
128,GASAG Gruppe,Business Analyst Betriebsmanagement (w/m/d)
129,Contorion,Senior Marketing Analyst (m/f/d)
130,msg for banking ag,Business Analyst / Banking (m/w/d)
131,Agoda,"Marketing Analyst (Bangkok Based, relocation provided)"
132,DCMN,Senior Insight / Market Research Specialist (DE) - German speaking (m/f/d)
133,Odoo,Business Analyst (m/w/d)
134,IU International University of Applied Sciences,Duales Studium E-Commerce (B.A.) am Campus oder online
135,Peak Ace AG,Junior Digital Analyst (m/w/d)
136,Gesellschaft zur Verwertung von Leistungsschutzrechten mbH,Business Analyst (m/w/d)
137,IU International University of Applied Sciences,Duales Studium Kindheitspädagogik (B.A.) am Campus oder online
138,GotPhoto.com | fotograf.de,Senior Marketing Analyst (f/m/d)
139,Workwise,Cyber Security Solution Specialist - Business Analyst / Requirements Analysis / Change Management (m/f/d)
140,Primal State Performance GmbH,Senior Data Analyst/BI Expert (all genders)
141,EY,Berater Technology Business Analysis - Technology Transformation (w/m/d)
142,Saxovent,Business Analyst Renewables (all genders)
143,Enpal Montage GmbH,Growth & Expansion Analyst (w/m/d)
144,Ing.ges. BBP Bauconsulting GmbH,Berufseinsteiger / Absolvent / Junior Ingenieur / Planer TGA HLS (m/w/d) bei Generalplaner BA-20
145,BWI GmbH,Business Analyst Transmission Systeme (m/w/d)
146,home24 SE,Performance Marketing Manager SEA – Deutsch (m/w/d)
