,joblinks
32,https://de.linkedin.com/jobs/view/duales-studium-b-a-bwl-mit-schwerpunkt-business-sales-in-berlin-2024-at-vodafone-3717095440?refId=pcSCLj6vwV7y8O9ZjjQ2wQ%3D%3D&trackingId=2GBr1xfhgC0SqCh1X8bSMQ%3D%3D&position=11&pageNum=1&trk=public_jobs_jserp-result_search-card
33,https://de.linkedin.com/jobs/view/d365-f-o-business-analyst-scm-at-interex-group-3805319911?refId=pcSCLj6vwV7y8O9ZjjQ2wQ%3D%3D&trackingId=M4kCCTZ54yX%2F8QPHgPVYRg%3D%3D&position=12&pageNum=1&trk=public_jobs_jserp-result_search-card
34,https://de.linkedin.com/jobs/view/praktikum-w-m-d-business-research-analysis-at-kpmg-deutschland-3743896490?refId=pcSCLj6vwV7y8O9ZjjQ2wQ%3D%3D&trackingId=EYJTjccfp2Z7nlULc4NmZg%3D%3D&position=14&pageNum=1&trk=public_jobs_jserp-result_search-card
35,https://de.linkedin.com/jobs/view/duales-studium-soziale-arbeit-b-a-am-campus-oder-online-at-iu-internationale-hochschule-3802367345?refId=pcSCLj6vwV7y8O9ZjjQ2wQ%3D%3D&trackingId=uCC%2FTaPRv4AW1IMKrcrrMg%3D%3D&position=15&pageNum=1&trk=public_jobs_jserp-result_search-card
36,https://de.linkedin.com/jobs/view/business-analyst-m-w-d-at-michael-page-3792822749?refId=pcSCLj6vwV7y8O9ZjjQ2wQ%3D%3D&trackingId=abiuyjGp2kC2Jt6ebv6DVw%3D%3D&position=16&pageNum=1&trk=public_jobs_jserp-result_search-card
37,https://de.linkedin.com/jobs/view/duales-studium-kindheitsp%C3%A4dagogik-b-a-am-campus-oder-online-at-iu-internationale-hochschule-3802368748?refId=pcSCLj6vwV7y8O9ZjjQ2wQ%3D%3D&trackingId=wwvOK4Nevtl3VNee7O5Pxw%3D%3D&position=17&pageNum=1&trk=public_jobs_jserp-result_search-card
38,https://de.linkedin.com/jobs/view/business-analyst-in-sales-analytics-d-w-m-at-immoscout24-3759056246?refId=pcSCLj6vwV7y8O9ZjjQ2wQ%3D%3D&trackingId=ZV8f24r58RpqQF%2BvCxmWpA%3D%3D&position=19&pageNum=1&trk=public_jobs_jserp-result_search-card
39,https://de.linkedin.com/jobs/view/business-consultant-data-architecture-und-data-analysis-supply-solutions-m-w-d-at-msg-3683743082?refId=pcSCLj6vwV7y8O9ZjjQ2wQ%3D%3D&trackingId=oOaLV2B%2BAPDTN91hqJYPbQ%3D%3D&position=20&pageNum=1&trk=public_jobs_jserp-result_search-card
40,https://de.linkedin.com/jobs/view/business-analyst-workflow-utility-for-operational-planning-m-w-d-at-freiberger-lebensmittel-gmbh-3735702336?refId=pcSCLj6vwV7y8O9ZjjQ2wQ%3D%3D&trackingId=2Ag3v1HHQ7A%2FPH0%2BuwpIIA%3D%3D&position=21&pageNum=1&trk=public_jobs_jserp-result_search-card
41,https://de.linkedin.com/jobs/view/werkstudent-praktikant-business-intelligence-reporting-business-analysis-at-hello-de-3751658783?refId=pcSCLj6vwV7y8O9ZjjQ2wQ%3D%3D&trackingId=tPiTteJ5tx16%2BErARjYT4w%3D%3D&position=22&pageNum=1&trk=public_jobs_jserp-result_search-card
